WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
93203||CIC||||CHICO, CA|Chico Municipal Airport||39.48|-121.31|0|238|0|
93205||MYV||||MARYSVILLE, CA|YUBA COUNTRY AIRPORT||39.06|-121|69|62|72|
93206||SBP||||SAN LUIS OBISPO, CA|SAN LUIS CO REGIONAL ARPT||35.14|-120.38|193|207|196|
93209||PRB|04|04|6742|PASO ROBLES, CA|PASO ROBLES MUNICIPAL ARPT||35.40|-120.38|803|817|806|
93210||OVE||||OROVILLE, CA|OROVILLE MUNICIPAL AIRPORT||39.29|-121.37|192|192|195|
93214||VBG||||LOMPOC, CA|VANDENBERG AFB||34.44|-120.35|0|0|0|
93216||BAB||||MARYSVILLE, CA|Beale Air Force Base||39.08|-121.26|0|113|0|
93225||SMF||||SACRAMENTO, CA|SACRAMENTO INTL AIRPORT||38.42|-121.35|19|33|22|
93227||APC||||NAPA, CA|NAPA COUNTY AIRPORT||38.13|-122.17|43|56|46|
93228||HWD||04|9185|HAYWARD, CA|HAYWARD EXECUTIVE AIRPORT||37.40|-122.07|59|47|62|
93230||TVL||04|8762|SOUTH LAKE TAHOE, CA|LAKE TAHOE AIRPORT||38.53|-119|6313|6273|6316|
93231||SQL||||SAN CARLOS, CA||San Carlos Airport|37.31|-122.15|0|5|0|
93232||RHV||||SAN JOSE, CA|Reid-Hillview Airport of Santa||37.20|-121.49|0|133|0|
93241||VCB||||VACAVILLE, CA|NUT TREE AIRPORT||38.23|-121.58|110|114|113|
93242||MAE||||MADERA, CA|MADERA MUNICIPAL AIRPORT||36.59|-120.07|254|253|257|
93244||IZA||||SANTA YNEZ, CA|Santa Ynez Airport||34.37|-120.05|0|671|0|
93706||HGR||||HAGERSTOWN, MD|HGRTWN RGNL-R.HNSON FLD AP||39.43|-77.44|734|704|737|
93714||PTB||||PETERSBURG, VA|DINWIDDIE COUNTY AIRPORT||37.11|-77.31|0|0|0|
93718||CRE||||NORTH MYRTLE BEACH, SC|GRAND STRAND AIRPORT||33.49|-78.43|25|33|28|
93719||EWN|07|31|6108|NEW BERN, NC|CRAVEN COUNTY REG AIRPORT|FLIGHT SERVICE STA/FAA*940 AVIATION DRIVE*NEW BERN,NC,*28560*|35.04|-77.03|12|24|15|
93720||SBY|01|18|8005|SALISBURY, MD|SALBRY-OCN CTY WICO RGN AP||38.20|-75.31|48|60|67|
93721|72406|BWI|04|18|0465|BALTIMORE, MD|BALT-WASHINGTON INTL ARPT|NAT'L WEA SER OFC*BALT.- WASH, INT'L AIRPORT*BALTIMORE,MD.*21240*|39.10|-76.41|193|155|196|
93726||ISO||||KINSTON, NC|Kinston Regional Jetport at St||35.20|-77.37|0|94|0|
93727|723096|NCA||||NEW RIVER, NC|JACKSONVILLE|ATTN  WEATHER SERVICE OFFICER*H&HS MCAS*PSC 21002*JACKSONVILLE  NC  28545-1002|34.42|-77.26|25|25|30|
93728||DAA||||FORT BELVOIR, VA|Davison AAF Airport||38.43|-77.11|0|74|0|
93729|72304|HSE|08|31|1458|CAPE HATTERAS, NC|BILLY MITCHELL AIRPORT|NAT'L WEA SER OFC*CAPE HATTERAS*PO BOX 100*BUXTON,NC 27920|35.14|-75.37|10|11|13|
93730|72407|ACY|02|28|0311|ATLANTIC CITY, NJ|ATLANTIC CITY INTL AIRPORT|NAT'L WEA SER OFC.,NOAA *FAA TECH., CTR., BLDG 301*ATLANTIC CITY,N.J. 08405|39.28|-74.28|114|67|117|
